Juego{Nombre='Mass Effect 3: ', Plataforma='WIIU           ', Desarrollador='Straight Right ', Género='Action RPG     ', Número de Jugadores='Up to 4        ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Nov 13, 2012', Críticas Positivas=32, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=18, Reseñas Neutrales=3, Reseñas Negativas=4, Meta Score=85.0, User Score=76.0}
Juego{Nombre='The Legend of Z', Plataforma='3DS            ', Desarrollador='Nintendo       ', Género='Action RPG     ', Número de Jugadores='No Online Multi', Clasificación de Edad='E              ', Fecha de Lanzamiento='Nov 22, 2013', Críticas Positivas=79, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=220, Reseñas Neutrales=19, Reseñas Negativas=9, Meta Score=91.0, User Score=90.0}
Juego{Nombre='Path of Exile  ', Plataforma='PC             ', Desarrollador='Grinding Gear G', Género='Action RPG     ', Número de Jugadores='Online Multipla', Clasificación de Edad='               ', Fecha de Lanzamiento='Jan 25, 2013', Críticas Positivas=25, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=289, Reseñas Neutrales=48, Reseñas Negativas=47, Meta Score=86.0, User Score=81.0}
Juego{Nombre='Dark Souls II  ', Plataforma='PC             ', Desarrollador='From Software  ', Género='Action RPG     ', Número de Jugadores='Up to 4        ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Apr 25, 2014', Críticas Positivas=36, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=276, Reseñas Neutrales=65, Reseñas Negativas=152, Meta Score=91.0, User Score=72.0}
Juego{Nombre='Diablo III: Ult', Plataforma='PS4            ', Desarrollador='Blizzard Entert', Género='Action RPG     ', Número de Jugadores='Up to 4        ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Aug 19, 2014', Críticas Positivas=63, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=131, Reseñas Neutrales=20, Reseñas Negativas=19, Meta Score=90.0, User Score=79.0}
Juego{Nombre='Diablo III: Rea', Plataforma='PC             ', Desarrollador='Blizzard Entert', Género='Action RPG     ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar 25, 2014', Críticas Positivas=73, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=156, Reseñas Neutrales=69, Reseñas Negativas=134, Meta Score=87.0, User Score=66.0}
Juego{Nombre='Divinity: Origi', Plataforma='PC             ', Desarrollador='Larian Studios ', Género='Action RPG     ', Número de Jugadores='2              ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jan 17, 2014', Críticas Positivas=56, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=369, Reseñas Neutrales=59, Reseñas Negativas=42, Meta Score=87.0, User Score=87.0}
Juego{Nombre='Lords of the Fa', Plataforma='PS4            ', Desarrollador='City Interactiv', Género='Action RPG     ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='Oct 28, 2014', Críticas Positivas=13, Críticas Neutrales=32, Críticas Negativas=0, Reseñas Positivas=58, Reseñas Neutrales=51, Reseñas Negativas=37, Meta Score=68.0, User Score=65.0}
Juego{Nombre='Sacred 3       ', Plataforma='PC             ', Desarrollador='Deep Silver    ', Género='Action RPG     ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jul 31, 2014', Críticas Positivas=3, Críticas Neutrales=35, Críticas Negativas=9, Reseñas Positivas=9, Reseñas Neutrales=14, Reseñas Negativas=77, Meta Score=57.0, User Score=15.0}
Juego{Nombre='Bound by Flame ', Plataforma='PC             ', Desarrollador='Spiders        ', Género='Action RPG     ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='May  8, 2014', Críticas Positivas=2, Críticas Neutrales=27, Críticas Negativas=13, Reseñas Positivas=66, Reseñas Neutrales=35, Reseñas Negativas=22, Meta Score=56.0, User Score=68.0}
Juego{Nombre='The Witcher 3: ', Plataforma='PC             ', Desarrollador='CD Projekt Red ', Género='Action RPG     ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='May 18, 2015', Críticas Positivas=32, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=1272, Reseñas Neutrales=84, Reseñas Negativas=69, Meta Score=93.0, User Score=94.0}
Juego{Nombre='The Witcher 3: ', Plataforma='PS4            ', Desarrollador='CD Projekt Red ', Género='Action RPG     ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='May 19, 2015', Críticas Positivas=78, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=1079, Reseñas Neutrales=115, Reseñas Negativas=79, Meta Score=92.0, User Score=92.0}
Juego{Nombre='The Witcher 3: ', Plataforma='XONE           ', Desarrollador='CD Projekt Red ', Género='Action RPG     ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='May 19, 2015', Críticas Positivas=13, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=211, Reseñas Neutrales=22, Reseñas Negativas=17, Meta Score=91.0, User Score=92.0}
Juego{Nombre='Xenoblade Chron', Plataforma='WIIU           ', Desarrollador='Monolith Soft  ', Género='Action RPG     ', Número de Jugadores='Up to 32       ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Dec  4, 2015', Críticas Positivas=77, Críticas Neutrales=10, Críticas Negativas=0, Reseñas Positivas=220, Reseñas Neutrales=20, Reseñas Negativas=21, Meta Score=84.0, User Score=91.0}
Juego{Nombre='Ys VI: The Ark ', Plataforma='PC             ', Desarrollador='Falcom         ', Género='Action RPG     ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Apr 28, 2015', Críticas Positivas=5, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=1, Reseñas Neutrales=1, Reseñas Negativas=0, Meta Score=76.0, User Score=78.0}
Juego{Nombre='Final Fantasy X', Plataforma='XONE           ', Desarrollador='Square Enix    ', Género='Action RPG     ', Número de Jugadores='Up to 4        ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Nov 29, 2016', Críticas Positivas=11, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=38, Reseñas Neutrales=22, Reseñas Negativas=25, Meta Score=83.0, User Score=77.0}
Juego{Nombre='Grim Dawn      ', Plataforma='PC             ', Desarrollador='Crate Entertain', Género='Action RPG     ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Feb 25, 2016', Críticas Positivas=29, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=101, Reseñas Neutrales=24, Reseñas Negativas=9, Meta Score=83.0, User Score=85.0}
Juego{Nombre='Final Fantasy X', Plataforma='PS4            ', Desarrollador='Square Enix    ', Género='Action RPG     ', Número de Jugadores='Up to 4        ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Nov 29, 2016', Críticas Positivas=89, Críticas Neutrales=20, Críticas Negativas=0, Reseñas Positivas=542, Reseñas Neutrales=230, Reseñas Negativas=228, Meta Score=81.0, User Score=76.0}
Juego{Nombre='Divinity: Origi', Plataforma='PC             ', Desarrollador='Larian Studios ', Género='Action RPG     ', Número de Jugadores='Online Multipla', Clasificación de Edad='               ', Fecha de Lanzamiento='Sep 14, 2017', Críticas Positivas=71, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=222, Reseñas Neutrales=26, Reseñas Negativas=17, Meta Score=93.0, User Score=88.0}
Juego{Nombre='Mass Effect: An', Plataforma='PC             ', Desarrollador='BioWare        ', Género='Action RPG     ', Número de Jugadores='Up to 4        ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar 21, 2017', Críticas Positivas=18, Críticas Neutrales=18, Críticas Negativas=1, Reseñas Positivas=431, Reseñas Neutrales=208, Reseñas Negativas=510, Meta Score=72.0, User Score=49.0}
Juego{Nombre='Ni no Kuni II: ', Plataforma='PS4            ', Desarrollador='Level 5        ', Género='Action RPG     ', Número de Jugadores='No Online Multi', Clasificación de Edad='T              ', Fecha de Lanzamiento='Mar 23, 2018', Críticas Positivas=76, Críticas Neutrales=8, Críticas Negativas=0, Reseñas Positivas=77, Reseñas Neutrales=40, Reseñas Negativas=18, Meta Score=84.0, User Score=74.0}
Juego{Nombre=''Pokemon: Let''', Plataforma='Switch         ', Desarrollador='Game Freak     ', Género='Action RPG     ', Número de Jugadores='Online Multipla', Clasificación de Edad='E              ', Fecha de Lanzamiento='Nov 16, 2018', Críticas Positivas=61, Críticas Neutrales=15, Críticas Negativas=1, Reseñas Positivas=187, Reseñas Neutrales=29, Reseñas Negativas=159, Meta Score=80.0, User Score=61.0}
