Juego{Nombre='Portal 2       ', Plataforma='PC             ', Desarrollador='Valve Software ', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Apr 18, 2011', Críticas Positivas=51, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=1700, Reseñas Neutrales=107, Reseñas Negativas=19, Meta Score=95.0, User Score=90.0}
Juego{Nombre='Super Mario 3D ', Plataforma='3DS            ', Desarrollador='Nintendo       ', Género='Action         ', Número de Jugadores='No Online Multi', Clasificación de Edad='E              ', Fecha de Lanzamiento='Nov 13, 2011', Críticas Positivas=81, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=251, Reseñas Neutrales=39, Reseñas Negativas=11, Meta Score=90.0, User Score=84.0}
Juego{Nombre='Deus Ex: Human ', Plataforma='PC             ', Desarrollador='Nixxes Software', Género='Action         ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='Aug 23, 2011', Críticas Positivas=52, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=520, Reseñas Neutrales=112, Reseñas Negativas=78, Meta Score=90.0, User Score=85.0}
Juego{Nombre='Battlefield 3  ', Plataforma='PC             ', Desarrollador='EA DICE        ', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Oct 25, 2011', Críticas Positivas=60, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=1061, Reseñas Neutrales=191, Reseñas Negativas=271, Meta Score=89.0, User Score=76.0}
Juego{Nombre='LIMBO          ', Plataforma='PC             ', Desarrollador='PLAYDEAD       ', Género='Action         ', Número de Jugadores='No Online Multi', Clasificación de Edad='T              ', Fecha de Lanzamiento='Aug  2, 2011', Críticas Positivas=22, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=190, Reseñas Neutrales=63, Reseñas Negativas=25, Meta Score=88.0, User Score=81.0}
Juego{Nombre='Dead Space 2   ', Plataforma='PC             ', Desarrollador='Visceral Games ', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jan 25, 2011', Críticas Positivas=27, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=128, Reseñas Neutrales=31, Reseñas Negativas=12, Meta Score=87.0, User Score=84.0}
Juego{Nombre='Bastion        ', Plataforma='PC             ', Desarrollador='Supergiant Game', Género='Action         ', Número de Jugadores='No Online Multi', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Aug 16, 2011', Críticas Positivas=16, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=302, Reseñas Neutrales=51, Reseñas Negativas=12, Meta Score=86.0, User Score=85.0}
Juego{Nombre='Crysis 2       ', Plataforma='PC             ', Desarrollador='Crytek         ', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar 22, 2011', Críticas Positivas=39, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=202, Reseñas Neutrales=119, Reseñas Negativas=120, Meta Score=86.0, User Score=68.0}
Juego{Nombre='Battlefield 3: ', Plataforma='PC             ', Desarrollador='EA DICE        ', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Dec 13, 2011', Críticas Positivas=8, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=22, Reseñas Neutrales=8, Reseñas Negativas=6, Meta Score=86.0, User Score=72.0}
Juego{Nombre='Super Street Fi', Plataforma='3DS            ', Desarrollador='Capcom         ', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Mar 27, 2011', Críticas Positivas=67, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=43, Reseñas Neutrales=9, Reseñas Negativas=2, Meta Score=85.0, User Score=80.0}
Juego{Nombre='Super Street Fi', Plataforma='PC             ', Desarrollador='Capcom, QLOC   ', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Jul  7, 2011', Críticas Positivas=10, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=18, Reseñas Neutrales=3, Reseñas Negativas=5, Meta Score=84.0, User Score=77.0}
