Juego{Nombre='DiRT 3         ', Plataforma='PC             ', Desarrollador='Codemasters    ', Género='Driving        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='May 23, 2011', Críticas Positivas=21, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=48, Reseñas Neutrales=30, Reseñas Negativas=31, Meta Score=86.0, User Score=70.0}
Juego{Nombre='Mario Kart 7   ', Plataforma='3DS            ', Desarrollador='Retro Studios, ', Género='Driving        ', Número de Jugadores='Up to 8        ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Dec  4, 2011', Críticas Positivas=64, Críticas Neutrales=9, Críticas Negativas=0, Reseñas Positivas=157, Reseñas Neutrales=45, Reseñas Negativas=7, Meta Score=85.0, User Score=83.0}
Juego{Nombre='Shift 2: Unleas', Plataforma='PC             ', Desarrollador='Slightly Mad St', Género='Driving        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Mar 29, 2011', Críticas Positivas=23, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=29, Reseñas Neutrales=14, Reseñas Negativas=37, Meta Score=84.0, User Score=62.0}
Juego{Nombre='F1 2011        ', Plataforma='PC             ', Desarrollador='Codemasters    ', Género='Driving        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Sep 19, 2011', Críticas Positivas=8, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=8, Reseñas Neutrales=3, Reseñas Negativas=4, Meta Score=83.0, User Score=71.0}
Juego{Nombre='TrackMania 2 Ca', Plataforma='PC             ', Desarrollador='Nadeo          ', Género='Driving        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Sep 14, 2011', Críticas Positivas=30, Críticas Neutrales=7, Críticas Negativas=0, Reseñas Positivas=11, Reseñas Neutrales=3, Reseñas Negativas=6, Meta Score=81.0, User Score=77.0}
Juego{Nombre='Driver: San Fra', Plataforma='PC             ', Desarrollador='Ubisoft Reflect', Género='Driving        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Sep 27, 2011', Críticas Positivas=10, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=37, Reseñas Neutrales=16, Reseñas Negativas=13, Meta Score=80.0, User Score=71.0}
Juego{Nombre='Ridge Racer 3D ', Plataforma='3DS            ', Desarrollador='Namco Bandai Ga', Género='Driving        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Mar 22, 2011', Críticas Positivas=33, Críticas Neutrales=26, Críticas Negativas=0, Reseñas Positivas=15, Reseñas Neutrales=9, Reseñas Negativas=2, Meta Score=75.0, User Score=73.0}
Juego{Nombre='Test Drive Unli', Plataforma='PC             ', Desarrollador='Eden           ', Género='Driving        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Feb  8, 2011', Críticas Positivas=10, Críticas Neutrales=9, Críticas Negativas=0, Reseñas Positivas=26, Reseñas Neutrales=22, Reseñas Negativas=39, Meta Score=72.0, User Score=57.0}
Juego{Nombre='Need for Speed:', Plataforma='PC             ', Desarrollador='Black Box      ', Género='Driving        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Nov 15, 2011', Críticas Positivas=8, Críticas Neutrales=10, Críticas Negativas=0, Reseñas Positivas=32, Reseñas Neutrales=19, Reseñas Negativas=32, Meta Score=69.0, User Score=60.0}
Juego{Nombre='Need for Speed:', Plataforma='3DS            ', Desarrollador='Firebrand Games', Género='Driving        ', Número de Jugadores='Up to 4        ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Nov 15, 2011', Críticas Positivas=1, Críticas Neutrales=7, Críticas Negativas=1, Reseñas Positivas=2, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=65.0, User Score=63.0}
Juego{Nombre='Off-Road Drive ', Plataforma='PC             ', Desarrollador='Avalon Style   ', Género='Driving        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Sep 29, 2011', Críticas Positivas=1, Críticas Neutrales=8, Críticas Negativas=1, Reseñas Positivas=2, Reseñas Neutrales=0, Reseñas Negativas=1, Meta Score=60.0, User Score=65.0}
