Juego{Nombre='World of Tanks ', Plataforma='PC             ', Desarrollador='Wargaming.net  ', Género='First-Person   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Apr 12, 2011', Críticas Positivas=29, Críticas Neutrales=9, Críticas Negativas=0, Reseñas Positivas=101, Reseñas Neutrales=50, Reseñas Negativas=327, Meta Score=80.0, User Score=36.0}
Juego{Nombre='Postal III     ', Plataforma='PC             ', Desarrollador='Running With Sc', Género='First-Person   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Dec 21, 2011', Críticas Positivas=0, Críticas Neutrales=1, Críticas Negativas=19, Reseñas Positivas=13, Reseñas Neutrales=12, Reseñas Negativas=40, Meta Score=24.0, User Score=30.0}
Juego{Nombre='The Elder Scrol', Plataforma='PC             ', Desarrollador='ZeniMax Media  ', Género='First-Person   ', Número de Jugadores='Massively Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='Apr  4, 2014', Críticas Positivas=27, Críticas Neutrales=36, Críticas Negativas=1, Reseñas Positivas=386, Reseñas Neutrales=148, Reseñas Negativas=319, Meta Score=71.0, User Score=58.0}
Juego{Nombre='The Old City: L', Plataforma='PC             ', Desarrollador='PostMod Softwor', Género='First-Person   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Dec  3, 2014', Críticas Positivas=7, Críticas Neutrales=5, Críticas Negativas=4, Reseñas Positivas=3, Reseñas Neutrales=2, Reseñas Negativas=2, Meta Score=62.0, User Score=56.0}
Juego{Nombre='The Elder Scrol', Plataforma='XONE           ', Desarrollador='ZeniMax Media  ', Género='First-Person   ', Número de Jugadores='Massively Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jun  9, 2015', Críticas Positivas=8, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=122, Reseñas Neutrales=19, Reseñas Negativas=32, Meta Score=77.0, User Score=83.0}
Juego{Nombre='The Elder Scrol', Plataforma='PS4            ', Desarrollador='ZeniMax Media  ', Género='First-Person   ', Número de Jugadores='Massively Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jun  9, 2015', Críticas Positivas=17, Críticas Neutrales=13, Críticas Negativas=0, Reseñas Positivas=186, Reseñas Neutrales=36, Reseñas Negativas=46, Meta Score=74.0, User Score=77.0}
Juego{Nombre='The Guest      ', Plataforma='PC             ', Desarrollador='Team Gotham    ', Género='First-Person   ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar 10, 2016', Críticas Positivas=3, Críticas Neutrales=11, Críticas Negativas=0, Reseñas Positivas=1, Reseñas Neutrales=1, Reseñas Negativas=0, Meta Score=68.0, User Score=70.0}
Juego{Nombre='Lust for Darkne', Plataforma='PC             ', Desarrollador='Movie Games    ', Género='First-Person   ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Jun 12, 2018', Críticas Positivas=2, Críticas Neutrales=1, Críticas Negativas=6, Reseñas Positivas=2, Reseñas Neutrales=5, Reseñas Negativas=3, Meta Score=50.0, User Score=52.0}
Juego{Nombre=''Tom Clancy''s ', Plataforma='PC             ', Desarrollador='Massive Enterta', Género='First-Person   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar 15, 2019', Críticas Positivas=23, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=123, Reseñas Neutrales=11, Reseñas Negativas=29, Meta Score=85.0, User Score=65.0}
Juego{Nombre=''Tom Clancy''s ', Plataforma='PS4            ', Desarrollador='Massive Enterta', Género='First-Person   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar 12, 2019', Críticas Positivas=40, Críticas Neutrales=5, Críticas Negativas=1, Reseñas Positivas=178, Reseñas Neutrales=20, Reseñas Negativas=25, Meta Score=83.0, User Score=72.0}
Juego{Nombre=''Tom Clancy''s ', Plataforma='XONE           ', Desarrollador='Massive Enterta', Género='First-Person   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar 12, 2019', Críticas Positivas=20, Críticas Neutrales=2, Críticas Negativas=1, Reseñas Positivas=28, Reseñas Neutrales=3, Reseñas Negativas=6, Meta Score=80.0, User Score=74.0}
Juego{Nombre='Eastshade      ', Plataforma='PC             ', Desarrollador='Eastshade Studi', Género='First-Person   ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Feb 13, 2019', Críticas Positivas=15, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=6, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=78.0, User Score=80.0}
