Juego{Nombre='Bulletstorm    ', Plataforma='PC             ', Desarrollador='Epic Games, Peo', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Feb 21, 2011', Críticas Positivas=30, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=110, Reseñas Neutrales=39, Reseñas Negativas=34, Meta Score=82.0, User Score=77.0}
Juego{Nombre='Xenonauts      ', Plataforma='PC             ', Desarrollador='Gamethunks, Gol', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Nov  4, 2011', Críticas Positivas=15, Críticas Neutrales=5, Críticas Negativas=1, Reseñas Positivas=30, Reseñas Neutrales=9, Reseñas Negativas=8, Meta Score=77.0, User Score=79.0}
Juego{Nombre='Guild Wars 2   ', Plataforma='PC             ', Desarrollador='ArenaNet       ', Género='General        ', Número de Jugadores='Massively Multi', Clasificación de Edad='T              ', Fecha de Lanzamiento='Aug 28, 2012', Críticas Positivas=68, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=649, Reseñas Neutrales=134, Reseñas Negativas=152, Meta Score=90.0, User Score=81.0}
Juego{Nombre='Super Stardust ', Plataforma='VITA           ', Desarrollador='Housemarque    ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Feb 14, 2012', Críticas Positivas=39, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=12, Reseñas Neutrales=1, Reseñas Negativas=0, Meta Score=82.0, User Score=80.0}
Juego{Nombre='ZombiU         ', Plataforma='WIIU           ', Desarrollador='Ubisoft Montpel', Género='General        ', Número de Jugadores='1-4            ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Nov 18, 2012', Críticas Positivas=49, Críticas Neutrales=20, Críticas Negativas=1, Reseñas Positivas=178, Reseñas Neutrales=31, Reseñas Negativas=14, Meta Score=77.0, User Score=77.0}
Juego{Nombre=''Ketzal''s Corr', Plataforma='3DS            ', Desarrollador='Keys Factory   ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Apr 12, 2012', Críticas Positivas=10, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=2, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=76.0, User Score=76.0}
Juego{Nombre='TRI            ', Plataforma='PC             ', Desarrollador='Rat King Entert', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Jul  8, 2012', Críticas Positivas=6, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=5, Reseñas Neutrales=2, Reseñas Negativas=0, Meta Score=74.0, User Score=75.0}
Juego{Nombre='Underrail      ', Plataforma='PC             ', Desarrollador='Stygian Softwar', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Dec  5, 2012', Críticas Positivas=5, Críticas Neutrales=6, Críticas Negativas=0, Reseñas Positivas=19, Reseñas Neutrales=3, Reseñas Negativas=2, Meta Score=72.0, User Score=76.0}
Juego{Nombre='Primordia      ', Plataforma='PC             ', Desarrollador='Wormwood Studio', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Dec  5, 2012', Críticas Positivas=14, Críticas Neutrales=15, Críticas Negativas=0, Reseñas Positivas=45, Reseñas Neutrales=2, Reseñas Negativas=1, Meta Score=72.0, User Score=88.0}
Juego{Nombre='Risen 2: Dark W', Plataforma='PC             ', Desarrollador='Piranha Bytes  ', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='Apr 24, 2012', Críticas Positivas=17, Críticas Neutrales=33, Críticas Negativas=1, Reseñas Positivas=80, Reseñas Neutrales=29, Reseñas Negativas=42, Meta Score=69.0, User Score=57.0}
Juego{Nombre='Liberation Maid', Plataforma='3DS            ', Desarrollador='Grasshopper Man', Género='General        ', Número de Jugadores='1 Player       ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Oct 25, 2012', Críticas Positivas=11, Críticas Neutrales=15, Críticas Negativas=1, Reseñas Positivas=6, Reseñas Neutrales=1, Reseñas Negativas=0, Meta Score=69.0, User Score=78.0}
Juego{Nombre='Hatoful Boyfrie', Plataforma='PC             ', Desarrollador='Hato Moa       ', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Feb 15, 2012', Críticas Positivas=13, Críticas Neutrales=18, Críticas Negativas=4, Reseñas Positivas=11, Reseñas Neutrales=3, Reseñas Negativas=1, Meta Score=68.0, User Score=73.0}
Juego{Nombre='The Amazing Spi', Plataforma='3DS            ', Desarrollador='Beenox         ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Jun 26, 2012', Críticas Positivas=0, Críticas Neutrales=8, Críticas Negativas=2, Reseñas Positivas=1, Reseñas Neutrales=6, Reseñas Negativas=2, Meta Score=55.0, User Score=53.0}
