Juego{Nombre='The Legend of Z', Plataforma='3DS            ', Desarrollador='GREZZO         ', Género='Miscellaneous  ', Número de Jugadores='No Online Multi', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Jun 19, 2011', Críticas Positivas=84, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=283, Reseñas Neutrales=20, Reseñas Negativas=5, Meta Score=94.0, User Score=90.0}
Juego{Nombre='Pushmo         ', Plataforma='3DS            ', Desarrollador='Intelligent Sys', Género='Miscellaneous  ', Número de Jugadores='1 Player       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Dec  8, 2011', Críticas Positivas=31, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=34, Reseñas Neutrales=4, Reseñas Negativas=2, Meta Score=90.0, User Score=83.0}
Juego{Nombre='SpaceChem      ', Plataforma='PC             ', Desarrollador='Zachtronics Ind', Género='Miscellaneous  ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Mar  2, 2011', Críticas Positivas=11, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=45, Reseñas Neutrales=3, Reseñas Negativas=2, Meta Score=84.0, User Score=85.0}
Juego{Nombre='Bit.Trip Saga  ', Plataforma='3DS            ', Desarrollador='Gaijin Games   ', Género='Miscellaneous  ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Sep 13, 2011', Críticas Positivas=13, Críticas Neutrales=8, Críticas Negativas=0, Reseñas Positivas=4, Reseñas Neutrales=0, Reseñas Negativas=1, Meta Score=75.0, User Score=79.0}
Juego{Nombre='Tetris Axis    ', Plataforma='3DS            ', Desarrollador='Hudson Soft    ', Género='Miscellaneous  ', Número de Jugadores='1-8            ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Oct  2, 2011', Críticas Positivas=17, Críticas Neutrales=15, Críticas Negativas=1, Reseñas Positivas=7, Reseñas Neutrales=1, Reseñas Negativas=2, Meta Score=74.0, User Score=69.0}
Juego{Nombre='Q.U.B.E.       ', Plataforma='PC             ', Desarrollador='Toxic Games    ', Género='Miscellaneous  ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Dec 17, 2011', Críticas Positivas=10, Críticas Neutrales=16, Críticas Negativas=0, Reseñas Positivas=22, Reseñas Neutrales=19, Reseñas Negativas=3, Meta Score=69.0, User Score=75.0}
Juego{Nombre='Lume           ', Plataforma='PC             ', Desarrollador='State of Play G', Género='Miscellaneous  ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='May  9, 2011', Críticas Positivas=2, Críticas Neutrales=5, Críticas Negativas=0, Reseñas Positivas=2, Reseñas Neutrales=4, Reseñas Negativas=8, Meta Score=69.0, User Score=50.0}
Juego{Nombre='Freakyforms: Yo', Plataforma='3DS            ', Desarrollador='Asobism, Co. lt', Género='Miscellaneous  ', Número de Jugadores='1 Player       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Nov 10, 2011', Críticas Positivas=2, Críticas Neutrales=8, Críticas Negativas=0, Reseñas Positivas=7, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=68.0, User Score=77.0}
Juego{Nombre='Mahjong Cub3d  ', Plataforma='3DS            ', Desarrollador='SunSoft        ', Género='Miscellaneous  ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Oct 11, 2011', Críticas Positivas=3, Críticas Neutrales=7, Críticas Negativas=1, Reseñas Positivas=0, Reseñas Neutrales=1, Reseñas Negativas=0, Meta Score=67.0, User Score=53.0}
Juego{Nombre='Cargo! The Ques', Plataforma='PC             ', Desarrollador='Ice-Pick Lodge ', Género='Miscellaneous  ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Apr 21, 2011', Críticas Positivas=5, Críticas Neutrales=12, Críticas Negativas=1, Reseñas Positivas=1, Reseñas Neutrales=2, Reseñas Negativas=0, Meta Score=64.0, User Score=70.0}
Juego{Nombre='SpongeBob Squig', Plataforma='3DS            ', Desarrollador='WayForward     ', Género='Miscellaneous  ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='May 17, 2011', Críticas Positivas=1, Críticas Neutrales=6, Críticas Negativas=1, Reseñas Positivas=2, Reseñas Neutrales=2, Reseñas Negativas=0, Meta Score=64.0, User Score=57.0}
