Juego{Nombre='F.E.A.R. 3     ', Plataforma='PC             ', Desarrollador='Day 1 Studios  ', Género='Modern         ', Número de Jugadores='1 Player       ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jun 21, 2011', Críticas Positivas=20, Críticas Neutrales=14, Críticas Negativas=0, Reseñas Positivas=30, Reseñas Neutrales=51, Reseñas Negativas=40, Meta Score=74.0, User Score=58.0}
Juego{Nombre='Darksiders II  ', Plataforma='WIIU           ', Desarrollador='Vigil Games    ', Género='Modern         ', Número de Jugadores='1 Player       ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Nov 18, 2012', Críticas Positivas=34, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=15, Reseñas Neutrales=3, Reseñas Negativas=3, Meta Score=85.0, User Score=81.0}
Juego{Nombre='Sleeping Dogs  ', Plataforma='PC             ', Desarrollador='United Front Ga', Género='Modern         ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='Aug 13, 2012', Críticas Positivas=18, Críticas Neutrales=5, Críticas Negativas=0, Reseñas Positivas=196, Reseñas Neutrales=50, Reseñas Negativas=23, Meta Score=81.0, User Score=83.0}
Juego{Nombre='Betrayer       ', Plataforma='PC             ', Desarrollador='Blackpowder Gam', Género='Modern         ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Aug 14, 2013', Críticas Positivas=2, Críticas Neutrales=30, Críticas Negativas=3, Reseñas Positivas=17, Reseñas Neutrales=7, Reseñas Negativas=0, Meta Score=62.0, User Score=72.0}
Juego{Nombre='SimCity: Cities', Plataforma='PC             ', Desarrollador='Maxis          ', Género='Modern         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Nov 12, 2013', Críticas Positivas=3, Críticas Neutrales=12, Críticas Negativas=0, Reseñas Positivas=9, Reseñas Neutrales=3, Reseñas Negativas=17, Meta Score=61.0, User Score=37.0}
Juego{Nombre='Tomb Raider: De', Plataforma='XONE           ', Desarrollador='Crystal Dynamic', Género='Modern         ', Número de Jugadores='Up to 8        ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jan 28, 2014', Críticas Positivas=16, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=51, Reseñas Neutrales=9, Reseñas Negativas=7, Meta Score=86.0, User Score=77.0}
Juego{Nombre='Tomb Raider: De', Plataforma='PS4            ', Desarrollador='Crystal Dynamic', Género='Modern         ', Número de Jugadores='Up to 8        ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jan 28, 2014', Críticas Positivas=50, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=147, Reseñas Neutrales=27, Reseñas Negativas=15, Meta Score=85.0, User Score=81.0}
Juego{Nombre='Door Kickers   ', Plataforma='PC             ', Desarrollador='KillHouse Games', Género='Modern         ', Número de Jugadores='Online Multipla', Clasificación de Edad='               ', Fecha de Lanzamiento='Oct 20, 2014', Críticas Positivas=11, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=14, Reseñas Neutrales=4, Reseñas Negativas=4, Meta Score=83.0, User Score=77.0}
Juego{Nombre='Watch Dogs     ', Plataforma='PS4            ', Desarrollador='Ubisoft Montrea', Género='Modern         ', Número de Jugadores='Up to 8        ', Clasificación de Edad='M              ', Fecha de Lanzamiento='May 27, 2014', Críticas Positivas=64, Críticas Neutrales=16, Críticas Negativas=0, Reseñas Positivas=380, Reseñas Neutrales=233, Reseñas Negativas=162, Meta Score=80.0, User Score=64.0}
Juego{Nombre='Octodad: Dadlie', Plataforma='PS4            ', Desarrollador='Kevin Zuhn     ', Género='Modern         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Apr 22, 2014', Críticas Positivas=8, Críticas Neutrales=23, Críticas Negativas=0, Reseñas Positivas=5, Reseñas Neutrales=9, Reseñas Negativas=1, Meta Score=69.0, User Score=68.0}
Juego{Nombre='Octodad: Dadlie', Plataforma='PC             ', Desarrollador='Young Horses, I', Género='Modern         ', Número de Jugadores='No Online Multi', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Jan 30, 2014', Críticas Positivas=17, Críticas Neutrales=25, Críticas Negativas=2, Reseñas Positivas=20, Reseñas Neutrales=14, Reseñas Negativas=5, Meta Score=69.0, User Score=76.0}
Juego{Nombre='Among the Sleep', Plataforma='PC             ', Desarrollador='Krillbite Studi', Género='Modern         ', Número de Jugadores='No Online Multi', Clasificación de Edad='T              ', Fecha de Lanzamiento='May 29, 2014', Críticas Positivas=10, Críticas Neutrales=27, Críticas Negativas=3, Reseñas Positivas=26, Reseñas Neutrales=13, Reseñas Negativas=1, Meta Score=66.0, User Score=75.0}
Juego{Nombre='Watch Dogs     ', Plataforma='WIIU           ', Desarrollador='Ubisoft Romania', Género='Modern         ', Número de Jugadores='Up to 4        ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Nov 18, 2014', Críticas Positivas=5, Críticas Neutrales=8, Críticas Negativas=2, Reseñas Positivas=23, Reseñas Neutrales=6, Reseñas Negativas=7, Meta Score=62.0, User Score=65.0}
Juego{Nombre='The Castle Doct', Plataforma='PC             ', Desarrollador='Jason Rohrer   ', Género='Modern         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Jan 29, 2014', Críticas Positivas=1, Críticas Neutrales=8, Críticas Negativas=3, Reseñas Positivas=7, Reseñas Neutrales=4, Reseñas Negativas=0, Meta Score=58.0, User Score=69.0}
Juego{Nombre='Grand Theft Aut', Plataforma='PC             ', Desarrollador='Rockstar North ', Género='Modern         ', Número de Jugadores='Up to 32       ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Apr 14, 2015', Críticas Positivas=56, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=407, Reseñas Neutrales=108, Reseñas Negativas=250, Meta Score=96.0, User Score=77.0}
Juego{Nombre='Metal Gear Soli', Plataforma='XONE           ', Desarrollador='Kojima Producti', Género='Modern         ', Número de Jugadores='Up to 16       ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Sep  1, 2015', Críticas Positivas=10, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=82, Reseñas Neutrales=22, Reseñas Negativas=7, Meta Score=95.0, User Score=74.0}
Juego{Nombre='Metal Gear Soli', Plataforma='PS4            ', Desarrollador='Kojima Producti', Género='Modern         ', Número de Jugadores='Up to 16       ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Sep  1, 2015', Críticas Positivas=84, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=591, Reseñas Neutrales=152, Reseñas Negativas=67, Meta Score=93.0, User Score=82.0}
