Juego{Nombre='Super Mario 3D ', Plataforma='WIIU           ', Desarrollador='Nintendo       ', Género='Platformer     ', Número de Jugadores='No Online Multi', Clasificación de Edad='E              ', Fecha de Lanzamiento='Nov 22, 2013', Críticas Positivas=81, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=354, Reseñas Neutrales=35, Reseñas Negativas=16, Meta Score=93.0, User Score=89.0}
Juego{Nombre='Trine 2: Comple', Plataforma='PS4            ', Desarrollador='Frozenbyte, Inc', Género='Platformer     ', Número de Jugadores='Up to 3        ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Nov 15, 2013', Críticas Positivas=9, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=21, Reseñas Neutrales=13, Reseñas Negativas=0, Meta Score=84.0, User Score=76.0}
Juego{Nombre='Contrast       ', Plataforma='PS4            ', Desarrollador='Compulsion Game', Género='Platformer     ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Nov 15, 2013', Críticas Positivas=5, Críticas Neutrales=28, Críticas Negativas=6, Reseñas Positivas=28, Reseñas Neutrales=39, Reseñas Negativas=10, Meta Score=59.0, User Score=64.0}
Juego{Nombre='Rayman Legends ', Plataforma='PS4            ', Desarrollador='Ubisoft Montpel', Género='Platformer     ', Número de Jugadores='No Online Multi', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Feb 18, 2014', Críticas Positivas=16, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=95, Reseñas Neutrales=5, Reseñas Negativas=3, Meta Score=90.0, User Score=84.0}
Juego{Nombre='Shovel Knight  ', Plataforma='3DS            ', Desarrollador='Yacht Club Game', Género='Platformer     ', Número de Jugadores='No Online Multi', Clasificación de Edad='E              ', Fecha de Lanzamiento='Jun 26, 2014', Críticas Positivas=9, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=50, Reseñas Neutrales=4, Reseñas Negativas=1, Meta Score=90.0, User Score=83.0}
Juego{Nombre='Shovel Knight  ', Plataforma='WIIU           ', Desarrollador='Yacht Club Game', Género='Platformer     ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Jun 26, 2014', Críticas Positivas=22, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=51, Reseñas Neutrales=4, Reseñas Negativas=1, Meta Score=88.0, User Score=84.0}
Juego{Nombre='Shovel Knight  ', Plataforma='PC             ', Desarrollador='Yacht Club Game', Género='Platformer     ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Jun 26, 2014', Críticas Positivas=44, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=65, Reseñas Neutrales=9, Reseñas Negativas=4, Meta Score=85.0, User Score=80.0}
Juego{Nombre=''Oddworld: Abe'', Plataforma='PS4            ', Desarrollador='Just Add Water ', Género='Platformer     ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Jul 22, 2014', Críticas Positivas=44, Críticas Neutrales=6, Críticas Negativas=0, Reseñas Positivas=26, Reseñas Neutrales=13, Reseñas Negativas=2, Meta Score=84.0, User Score=78.0}
Juego{Nombre='Broforce       ', Plataforma='PC             ', Desarrollador='Free Lives     ', Género='Platformer     ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Apr  7, 2014', Críticas Positivas=30, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=30, Reseñas Neutrales=7, Reseñas Negativas=3, Meta Score=83.0, User Score=80.0}
Juego{Nombre='Donkey Kong Cou', Plataforma='WIIU           ', Desarrollador='Retro Studios  ', Género='Platformer     ', Número de Jugadores='No Online Multi', Clasificación de Edad='E              ', Fecha de Lanzamiento='Feb 21, 2014', Críticas Positivas=65, Críticas Neutrales=12, Críticas Negativas=0, Reseñas Positivas=138, Reseñas Neutrales=10, Reseñas Negativas=3, Meta Score=83.0, User Score=89.0}
Juego{Nombre=''Shantae and th', Plataforma='3DS            ', Desarrollador='WayForward     ', Género='Platformer     ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Oct 23, 2014', Críticas Positivas=16, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=10, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=82.0, User Score=85.0}
