Juego{Nombre='DiRT Rally     ', Plataforma='PC             ', Desarrollador='Codemasters    ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Dec  7, 2015', Críticas Positivas=33, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=39, Reseñas Neutrales=7, Reseñas Negativas=3, Meta Score=86.0, User Score=87.0}
Juego{Nombre='Rocket League  ', Plataforma='PS4            ', Desarrollador='Psyonix, Panic ', Género='Racing         ', Número de Jugadores='Up to 8        ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Jul  7, 2015', Críticas Positivas=47, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=288, Reseñas Neutrales=18, Reseñas Negativas=11, Meta Score=85.0, User Score=85.0}
Juego{Nombre='Driveclub Bikes', Plataforma='PS4            ', Desarrollador='Evolution Studi', Género='Racing         ', Número de Jugadores='Up to 12       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Oct 27, 2015', Críticas Positivas=27, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=10, Reseñas Neutrales=1, Reseñas Negativas=5, Meta Score=79.0, User Score=74.0}
Juego{Nombre='The Crew: Wild ', Plataforma='PS4            ', Desarrollador='Ivory Tower    ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Nov 17, 2015', Críticas Positivas=7, Críticas Neutrales=6, Críticas Negativas=0, Reseñas Positivas=8, Reseñas Neutrales=0, Reseñas Negativas=2, Meta Score=73.0, User Score=64.0}
Juego{Nombre='RIDE           ', Plataforma='PS4            ', Desarrollador='Milestone S.r.l', Género='Racing         ', Número de Jugadores='Up to 12       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Oct  6, 2015', Críticas Positivas=7, Críticas Neutrales=22, Críticas Negativas=1, Reseñas Positivas=5, Reseñas Neutrales=2, Reseñas Negativas=0, Meta Score=66.0, User Score=67.0}
Juego{Nombre='Need for Speed ', Plataforma='PS4            ', Desarrollador='Ghost Games    ', Género='Racing         ', Número de Jugadores='Up to 8        ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Nov  3, 2015', Críticas Positivas=27, Críticas Neutrales=38, Críticas Negativas=4, Reseñas Positivas=73, Reseñas Neutrales=51, Reseñas Negativas=71, Meta Score=66.0, User Score=70.0}
Juego{Nombre='F1 2015        ', Plataforma='PS4            ', Desarrollador='Codemasters    ', Género='Racing         ', Número de Jugadores='Up to 16       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Jul 21, 2015', Críticas Positivas=8, Críticas Neutrales=37, Críticas Negativas=1, Reseñas Positivas=12, Reseñas Neutrales=2, Reseñas Negativas=3, Meta Score=65.0, User Score=64.0}
Juego{Nombre='Need for Speed ', Plataforma='XONE           ', Desarrollador='Ghost Games    ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Nov  3, 2015', Críticas Positivas=6, Críticas Neutrales=23, Críticas Negativas=1, Reseñas Positivas=10, Reseñas Neutrales=22, Reseñas Negativas=22, Meta Score=65.0, User Score=77.0}
Juego{Nombre='WRC 5          ', Plataforma='PC             ', Desarrollador='Kylotonn       ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Oct  8, 2015', Críticas Positivas=0, Críticas Neutrales=8, Críticas Negativas=0, Reseñas Positivas=8, Reseñas Neutrales=0, Reseñas Negativas=4, Meta Score=65.0, User Score=60.0}
Juego{Nombre='F1 2015        ', Plataforma='XONE           ', Desarrollador='Codemasters    ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Jul 21, 2015', Críticas Positivas=1, Críticas Neutrales=10, Críticas Negativas=2, Reseñas Positivas=1, Reseñas Neutrales=2, Reseñas Negativas=3, Meta Score=64.0, User Score=61.0}
Juego{Nombre='WRC 5          ', Plataforma='PS4            ', Desarrollador='Kylotonn, Miles', Género='Racing         ', Número de Jugadores='Up to 8        ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Oct 13, 2015', Críticas Positivas=4, Críticas Neutrales=16, Críticas Negativas=2, Reseñas Positivas=3, Reseñas Neutrales=2, Reseñas Negativas=2, Meta Score=62.0, User Score=61.0}
Juego{Nombre='Forza Horizon 2', Plataforma='XONE           ', Desarrollador='Playground Game', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Mar 27, 2015', Críticas Positivas=2, Críticas Neutrales=8, Críticas Negativas=2, Reseñas Positivas=17, Reseñas Neutrales=5, Reseñas Negativas=1, Meta Score=61.0, User Score=80.0}
Juego{Nombre='F1 2015        ', Plataforma='PC             ', Desarrollador='Codemasters    ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Jul  9, 2015', Críticas Positivas=1, Críticas Neutrales=11, Críticas Negativas=1, Reseñas Positivas=4, Reseñas Neutrales=2, Reseñas Negativas=13, Meta Score=61.0, User Score=39.0}
Juego{Nombre='RIDE           ', Plataforma='XONE           ', Desarrollador='Milestone S.r.l', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Oct  6, 2015', Críticas Positivas=1, Críticas Neutrales=5, Críticas Negativas=3, Reseñas Positivas=1, Reseñas Neutrales=2, Reseñas Negativas=3, Meta Score=54.0, User Score=50.0}
Juego{Nombre='MX vs. ATV Supe', Plataforma='PS4            ', Desarrollador='Rainbow Studios', Género='Racing         ', Número de Jugadores='Up to 12       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Oct 27, 2015', Críticas Positivas=0, Críticas Neutrales=2, Críticas Negativas=6, Reseñas Positivas=0, Reseñas Neutrales=2, Reseñas Negativas=2, Meta Score=42.0, User Score=38.0}
Juego{Nombre='Forza Horizon 3', Plataforma='XONE           ', Desarrollador='Playground Game', Género='Racing         ', Número de Jugadores='Up to 12       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Sep 23, 2016', Críticas Positivas=89, Críticas Neutrales=1, Críticas Negativas=1, Reseñas Positivas=142, Reseñas Neutrales=13, Reseñas Negativas=12, Meta Score=91.0, User Score=80.0}
Juego{Nombre='Forza Horizon 3', Plataforma='XONE           ', Desarrollador='Playground Game', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Dec 13, 2016', Críticas Positivas=16, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=4, Reseñas Neutrales=2, Reseñas Negativas=0, Meta Score=87.0, User Score=77.0}
Juego{Nombre='Forza Horizon 3', Plataforma='PC             ', Desarrollador='Playground Game', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Sep 27, 2016', Críticas Positivas=12, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=50, Reseñas Neutrales=10, Reseñas Negativas=31, Meta Score=86.0, User Score=69.0}
Juego{Nombre='DiRT Rally     ', Plataforma='XONE           ', Desarrollador='Codemasters    ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Apr  5, 2016', Críticas Positivas=17, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=12, Reseñas Neutrales=1, Reseñas Negativas=4, Meta Score=86.0, User Score=81.0}
Juego{Nombre='F1 2016        ', Plataforma='PC             ', Desarrollador='Codemasters    ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Aug 19, 2016', Críticas Positivas=12, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=3, Reseñas Neutrales=1, Reseñas Negativas=0, Meta Score=86.0, User Score=77.0}
Juego{Nombre='DiRT Rally     ', Plataforma='PS4            ', Desarrollador='Codemasters    ', Género='Racing         ', Número de Jugadores='Up to 8        ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Apr  5, 2016', Críticas Positivas=45, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=53, Reseñas Neutrales=9, Reseñas Negativas=9, Meta Score=85.0, User Score=79.0}
Juego{Nombre='F1 2016        ', Plataforma='XONE           ', Desarrollador='Codemasters    ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Aug 19, 2016', Críticas Positivas=14, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=7, Reseñas Neutrales=1, Reseñas Negativas=0, Meta Score=85.0, User Score=78.0}
Juego{Nombre='F1 2016        ', Plataforma='PS4            ', Desarrollador='Codemasters    ', Género='Racing         ', Número de Jugadores='Up to 22       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Aug 19, 2016', Críticas Positivas=47, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=22, Reseñas Neutrales=0, Reseñas Negativas=1, Meta Score=82.0, User Score=79.0}
Juego{Nombre='Trackmania Turb', Plataforma='PS4            ', Desarrollador='Nadeo          ', Género='Racing         ', Número de Jugadores='Up to 32       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Mar 22, 2016', Críticas Positivas=48, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=22, Reseñas Neutrales=6, Reseñas Negativas=5, Meta Score=81.0, User Score=76.0}
Juego{Nombre='Trackmania Turb', Plataforma='PC             ', Desarrollador='Nadeo          ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Mar 24, 2016', Críticas Positivas=10, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=4, Reseñas Neutrales=2, Reseñas Negativas=2, Meta Score=79.0, User Score=71.0}
Juego{Nombre='Mantis Burn Rac', Plataforma='XONE           ', Desarrollador='VooFoo Studios ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Oct 12, 2016', Críticas Positivas=8, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=0, Reseñas Neutrales=1, Reseñas Negativas=0, Meta Score=79.0, User Score=74.0}
Juego{Nombre='Obliteracers   ', Plataforma='PC             ', Desarrollador='Space Dust Stud', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Feb 23, 2016', Críticas Positivas=5, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=3, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=78.0, User Score=77.0}
Juego{Nombre='Trackmania Turb', Plataforma='XONE           ', Desarrollador='Nadeo          ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Mar 22, 2016', Críticas Positivas=8, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=3, Reseñas Neutrales=3, Reseñas Negativas=2, Meta Score=76.0, User Score=73.0}
Juego{Nombre='Valentino Rossi', Plataforma='PS4            ', Desarrollador='Milestone, Mile', Género='Racing         ', Número de Jugadores='Up to 12       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Jun 17, 2016', Críticas Positivas=12, Críticas Neutrales=7, Críticas Negativas=0, Reseñas Positivas=9, Reseñas Neutrales=3, Reseñas Negativas=1, Meta Score=75.0, User Score=75.0}
Juego{Nombre='Assetto Corsa  ', Plataforma='PS4            ', Desarrollador='Kunos Simulazio', Género='Racing         ', Número de Jugadores='Up to 16       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Aug 30, 2016', Críticas Positivas=18, Críticas Neutrales=16, Críticas Negativas=1, Reseñas Positivas=20, Reseñas Neutrales=3, Reseñas Negativas=19, Meta Score=73.0, User Score=61.0}
Juego{Nombre='Mantis Burn Rac', Plataforma='PS4            ', Desarrollador='VooFoo Studios ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Oct 12, 2016', Críticas Positivas=2, Críticas Neutrales=5, Críticas Negativas=0, Reseñas Positivas=2, Reseñas Neutrales=3, Reseñas Negativas=0, Meta Score=71.0, User Score=71.0}
