Juego{Nombre='The Elder Scrol', Plataforma='PC             ', Desarrollador='Bethesda Game S', Género='Role-Playing   ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='Nov 10, 2011', Críticas Positivas=32, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=1616, Reseñas Neutrales=322, Reseñas Negativas=451, Meta Score=94.0, User Score=82.0}
Juego{Nombre='The Witcher 2: ', Plataforma='PC             ', Desarrollador='CD Projekt Red ', Género='Role-Playing   ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='May 17, 2011', Críticas Positivas=70, Críticas Neutrales=6, Críticas Negativas=0, Reseñas Positivas=1155, Reseñas Neutrales=127, Reseñas Negativas=77, Meta Score=88.0, User Score=85.0}
Juego{Nombre='Rift           ', Plataforma='PC             ', Desarrollador='Trion Worlds   ', Género='Role-Playing   ', Número de Jugadores='Online Multipla', Clasificación de Edad='T              ', Fecha de Lanzamiento='Mar  1, 2011', Críticas Positivas=56, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=121, Reseñas Neutrales=51, Reseñas Negativas=47, Meta Score=84.0, User Score=73.0}
Juego{Nombre='Dragon Age II  ', Plataforma='PC             ', Desarrollador='BioWare        ', Género='Role-Playing   ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar  8, 2011', Críticas Positivas=38, Críticas Neutrales=7, Críticas Negativas=0, Reseñas Positivas=364, Reseñas Neutrales=291, Reseñas Negativas=1017, Meta Score=82.0, User Score=45.0}
Juego{Nombre='Fallout: New Ve', Plataforma='PC             ', Desarrollador='Obsidian Entert', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jul 19, 2011', Críticas Positivas=14, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=29, Reseñas Neutrales=10, Reseñas Negativas=5, Meta Score=82.0, User Score=77.0}
Juego{Nombre='To the Moon    ', Plataforma='PC             ', Desarrollador='Freebird Games ', Género='Role-Playing   ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Nov  1, 2011', Críticas Positivas=22, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=209, Reseñas Neutrales=17, Reseñas Negativas=15, Meta Score=81.0, User Score=89.0}
Juego{Nombre='Dungeon Defende', Plataforma='PC             ', Desarrollador='Trendy Entertai', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Oct 18, 2011', Críticas Positivas=21, Críticas Neutrales=5, Críticas Negativas=0, Reseñas Positivas=82, Reseñas Neutrales=28, Reseñas Negativas=29, Meta Score=81.0, User Score=73.0}
Juego{Nombre='Dungeons of Dre', Plataforma='PC             ', Desarrollador='Gaslamp Games  ', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Jul 13, 2011', Críticas Positivas=13, Críticas Neutrales=5, Críticas Negativas=0, Reseñas Positivas=47, Reseñas Neutrales=19, Reseñas Negativas=4, Meta Score=79.0, User Score=77.0}
Juego{Nombre='Two Worlds II: ', Plataforma='PC             ', Desarrollador='Reality Pump   ', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Sep 30, 2011', Críticas Positivas=8, Críticas Neutrales=0, Críticas Negativas=1, Reseñas Positivas=8, Reseñas Neutrales=2, Reseñas Negativas=1, Meta Score=78.0, User Score=75.0}
Juego{Nombre='Shin Megami Ten', Plataforma='3DS            ', Desarrollador='Atlus          ', Género='Role-Playing   ', Número de Jugadores='No Online Multi', Clasificación de Edad='T              ', Fecha de Lanzamiento='Aug 23, 2011', Críticas Positivas=19, Críticas Neutrales=7, Críticas Negativas=1, Reseñas Positivas=18, Reseñas Neutrales=4, Reseñas Negativas=3, Meta Score=78.0, User Score=43.0}
Juego{Nombre='Might & Magic: ', Plataforma='PC             ', Desarrollador='Black Hole Game', Género='Role-Playing   ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Oct 13, 2011', Críticas Positivas=37, Críticas Neutrales=11, Críticas Negativas=0, Reseñas Positivas=78, Reseñas Neutrales=37, Reseñas Negativas=65, Meta Score=77.0, User Score=60.0}
Juego{Nombre='Two Worlds II  ', Plataforma='PC             ', Desarrollador='Reality Pump   ', Género='Role-Playing   ', Número de Jugadores='Online Multipla', Clasificación de Edad='M              ', Fecha de Lanzamiento='Feb  3, 2011', Críticas Positivas=19, Críticas Neutrales=12, Críticas Negativas=0, Reseñas Positivas=31, Reseñas Neutrales=37, Reseñas Negativas=22, Meta Score=76.0, User Score=64.0}
Juego{Nombre='Avadon: The Bla', Plataforma='PC             ', Desarrollador='Spiderweb Softw', Género='Role-Playing   ', Número de Jugadores='1 Player       ', Clasificación de Edad='               ', Fecha de Lanzamiento='May  2, 2011', Críticas Positivas=4, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=14, Reseñas Neutrales=6, Reseñas Negativas=2, Meta Score=75.0, User Score=77.0}
Juego{Nombre='Fable III      ', Plataforma='PC             ', Desarrollador='Lionhead Studio', Género='Role-Playing   ', Número de Jugadores='1 Player       ', Clasificación de Edad='M              ', Fecha de Lanzamiento='May 17, 2011', Críticas Positivas=23, Críticas Neutrales=16, Críticas Negativas=0, Reseñas Positivas=35, Reseñas Neutrales=38, Reseñas Negativas=67, Meta Score=75.0, User Score=55.0}
