Juego{Nombre='Call of Duty: B', Plataforma='VITA           ', Desarrollador='Nihilistic     ', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Nov 13, 2012', Críticas Positivas=0, Críticas Neutrales=7, Críticas Negativas=51, Reseñas Positivas=104, Reseñas Neutrales=56, Reseñas Negativas=77, Meta Score=33.0, User Score=49.0}
Juego{Nombre='Resogun        ', Plataforma='PS4            ', Desarrollador='Housemarque, XD', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Nov 15, 2013', Críticas Positivas=61, Críticas Neutrales=5, Críticas Negativas=0, Reseñas Positivas=132, Reseñas Neutrales=23, Reseñas Negativas=2, Meta Score=84.0, User Score=77.0}
Juego{Nombre='Insurgency     ', Plataforma='PC             ', Desarrollador='New World Inter', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Mar  1, 2013', Críticas Positivas=18, Críticas Neutrales=6, Críticas Negativas=0, Reseñas Positivas=151, Reseñas Neutrales=11, Reseñas Negativas=12, Meta Score=74.0, User Score=86.0}
Juego{Nombre='Killzone: Shado', Plataforma='PS4            ', Desarrollador='Guerrilla      ', Género='Shooter        ', Número de Jugadores='Up to 24       ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Nov 15, 2013', Críticas Positivas=46, Críticas Neutrales=42, Críticas Negativas=0, Reseñas Positivas=243, Reseñas Neutrales=178, Reseñas Negativas=87, Meta Score=73.0, User Score=68.0}
Juego{Nombre='Loadout        ', Plataforma='PC             ', Desarrollador='Edge of Reality', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='May 15, 2013', Críticas Positivas=8, Críticas Neutrales=9, Críticas Negativas=0, Reseñas Positivas=79, Reseñas Neutrales=34, Reseñas Negativas=16, Meta Score=72.0, User Score=73.0}
Juego{Nombre='Crimson Dragon ', Plataforma='XONE           ', Desarrollador='Grounding Inc. ', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Nov 22, 2013', Críticas Positivas=2, Críticas Neutrales=27, Críticas Negativas=10, Reseñas Positivas=12, Reseñas Neutrales=5, Reseñas Negativas=2, Meta Score=55.0, User Score=65.0}
Juego{Nombre='Sniper Elite: N', Plataforma='PC             ', Desarrollador='Rebellion      ', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Oct 31, 2013', Críticas Positivas=0, Críticas Neutrales=7, Críticas Negativas=3, Reseñas Positivas=18, Reseñas Neutrales=5, Reseñas Negativas=2, Meta Score=53.0, User Score=69.0}
Juego{Nombre='Velocity 2X    ', Plataforma='VITA           ', Desarrollador='FuturLab       ', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Sep  2, 2014', Críticas Positivas=10, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=13, Reseñas Neutrales=3, Reseñas Negativas=6, Meta Score=90.0, User Score=72.0}
Juego{Nombre='Titanfall      ', Plataforma='XONE           ', Desarrollador='Respawn Enterta', Género='Shooter        ', Número de Jugadores='Up to 12       ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar 11, 2014', Críticas Positivas=66, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=515, Reseñas Neutrales=180, Reseñas Negativas=86, Meta Score=86.0, User Score=67.0}
Juego{Nombre='Titanfall      ', Plataforma='PC             ', Desarrollador='Respawn Enterta', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar 11, 2014', Críticas Positivas=28, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=188, Reseñas Neutrales=142, Reseñas Negativas=136, Meta Score=86.0, User Score=62.0}
Juego{Nombre='BioShock Infini', Plataforma='PC             ', Desarrollador='Irrational Game', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar 25, 2014', Críticas Positivas=25, Críticas Neutrales=8, Críticas Negativas=1, Reseñas Positivas=46, Reseñas Neutrales=13, Reseñas Negativas=7, Meta Score=80.0, User Score=85.0}
Juego{Nombre='Destiny        ', Plataforma='PS4            ', Desarrollador='Bungie Software', Género='Shooter        ', Número de Jugadores='Up to 16       ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Sep  9, 2014', Críticas Positivas=60, Críticas Neutrales=34, Críticas Negativas=1, Reseñas Positivas=775, Reseñas Neutrales=498, Reseñas Negativas=553, Meta Score=76.0, User Score=61.0}
Juego{Nombre='Destiny        ', Plataforma='XONE           ', Desarrollador='Bungie Software', Género='Shooter        ', Número de Jugadores='Up to 16       ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Sep  9, 2014', Críticas Positivas=7, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=246, Reseñas Neutrales=182, Reseñas Negativas=204, Meta Score=75.0, User Score=55.0}
Juego{Nombre='Sniper Elite II', Plataforma='PC             ', Desarrollador='Rebellion      ', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jun 27, 2014', Críticas Positivas=10, Críticas Neutrales=19, Críticas Negativas=0, Reseñas Positivas=20, Reseñas Neutrales=25, Reseñas Negativas=17, Meta Score=71.0, User Score=69.0}
Juego{Nombre='Sniper Elite II', Plataforma='PS4            ', Desarrollador='Rebellion      ', Género='Shooter        ', Número de Jugadores='Up to 12       ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jul  1, 2014', Críticas Positivas=13, Críticas Neutrales=28, Críticas Negativas=0, Reseñas Positivas=24, Reseñas Neutrales=19, Reseñas Negativas=9, Meta Score=67.0, User Score=69.0}
Juego{Nombre='Depth          ', Plataforma='PC             ', Desarrollador='Digital Confect', Género='Shooter        ', Número de Jugadores='Online Multipla', Clasificación de Edad='               ', Fecha de Lanzamiento='Nov  3, 2014', Críticas Positivas=1, Críticas Neutrales=6, Críticas Negativas=0, Reseñas Positivas=25, Reseñas Neutrales=2, Reseñas Negativas=2, Meta Score=65.0, User Score=77.0}
Juego{Nombre='Borderlands 2  ', Plataforma='VITA           ', Desarrollador='Iron Galaxy Stu', Género='Shooter        ', Número de Jugadores='2              ', Clasificación de Edad='M              ', Fecha de Lanzamiento='May  6, 2014', Críticas Positivas=7, Críticas Neutrales=21, Críticas Negativas=3, Reseñas Positivas=121, Reseñas Neutrales=20, Reseñas Negativas=6, Meta Score=64.0, User Score=77.0}
Juego{Nombre='Sniper Elite II', Plataforma='XONE           ', Desarrollador='Rebellion      ', Género='Shooter        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jul  1, 2014', Críticas Positivas=1, Críticas Neutrales=11, Críticas Negativas=0, Reseñas Positivas=9, Reseñas Neutrales=11, Reseñas Negativas=3, Meta Score=63.0, User Score=66.0}
