Juego{Nombre='FIFA Soccer 12 ', Plataforma='PC             ', Desarrollador='Electronic Arts', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Sep 27, 2011', Críticas Positivas=14, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=33, Reseñas Neutrales=8, Reseñas Negativas=10, Meta Score=89.0, User Score=71.0}
Juego{Nombre='Football Manage', Plataforma='PC             ', Desarrollador='Sports Interact', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Oct 20, 2011', Críticas Positivas=43, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=22, Reseñas Neutrales=5, Reseñas Negativas=4, Meta Score=84.0, User Score=79.0}
Juego{Nombre='Pro Evolution S', Plataforma='PC             ', Desarrollador='Konami         ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Sep 27, 2011', Críticas Positivas=8, Críticas Neutrales=5, Críticas Negativas=0, Reseñas Positivas=8, Reseñas Neutrales=2, Reseñas Negativas=4, Meta Score=77.0, User Score=65.0}
Juego{Nombre='Pro Evolution S', Plataforma='3DS            ', Desarrollador='Konami         ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Mar 25, 2011', Críticas Positivas=19, Críticas Neutrales=24, Críticas Negativas=0, Reseñas Positivas=3, Reseñas Neutrales=4, Reseñas Negativas=0, Meta Score=73.0, User Score=69.0}
Juego{Nombre='FIFA Manager 12', Plataforma='PC             ', Desarrollador='Bright Future G', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Oct 18, 2011', Críticas Positivas=6, Críticas Neutrales=4, Críticas Negativas=1, Reseñas Positivas=1, Reseñas Neutrales=2, Reseñas Negativas=3, Meta Score=72.0, User Score=40.0}
Juego{Nombre='FIFA Soccer 12 ', Plataforma='3DS            ', Desarrollador='EA Sports      ', Género='Sports         ', Número de Jugadores='2  Online      ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Sep 27, 2011', Críticas Positivas=2, Críticas Neutrales=9, Críticas Negativas=2, Reseñas Positivas=0, Reseñas Neutrales=1, Reseñas Negativas=2, Meta Score=67.0, User Score=39.0}
Juego{Nombre=''Let''s Golf 3D', Plataforma='3DS            ', Desarrollador='Gameloft       ', Género='Sports         ', Número de Jugadores='1-2            ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Jul 28, 2011', Críticas Positivas=3, Críticas Neutrales=6, Críticas Negativas=2, Reseñas Positivas=1, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=62.0, User Score=65.0}
Juego{Nombre='DualPenSports  ', Plataforma='3DS            ', Desarrollador='Indies Zero    ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Jun 21, 2011', Críticas Positivas=1, Críticas Neutrales=7, Críticas Negativas=3, Reseñas Positivas=0, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=58.0, User Score=35.0}
Juego{Nombre='Madden NFL Foot', Plataforma='3DS            ', Desarrollador='EA Tiburon     ', Género='Sports         ', Número de Jugadores='6  Online      ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Mar 22, 2011', Críticas Positivas=0, Críticas Neutrales=11, Críticas Negativas=7, Reseñas Positivas=1, Reseñas Neutrales=5, Reseñas Negativas=0, Meta Score=49.0, User Score=53.0}
Juego{Nombre='Football Manage', Plataforma='PC             ', Desarrollador='Sports Interact', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Nov  1, 2012', Críticas Positivas=35, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=19, Reseñas Neutrales=10, Reseñas Negativas=19, Meta Score=86.0, User Score=68.0}
Juego{Nombre='FIFA Soccer 13 ', Plataforma='PC             ', Desarrollador='Electronic Arts', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Sep 25, 2012', Críticas Positivas=7, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=17, Reseñas Neutrales=9, Reseñas Negativas=19, Meta Score=86.0, User Score=66.0}
